symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
VOO,2010-10-27,54.07,54.11,53.61,53.87,34213,89.6556284054,89.7219540044,88.8928840173,89.3240004106,17106,0.0,1.0
VOO,2010-10-28,54.11,54.41,53.88,54.38,38458,89.7219540044,90.2193959967,89.3405818103,90.1696517974,19229,0.0,1.0
VOO,2010-10-29,54.15,54.21,54.0,54.05,26717,89.7882796034,89.8877680018,89.5395586072,89.622465606,13358,0.0,1.0
VOO,2010-11-01,54.18,54.71,53.88,54.46,103008,89.8380238026,90.7168379889,89.3405818103,90.3023029954,51504,0.0,1.0
VOO,2010-11-02,54.6,54.71,54.429,54.61,52154,90.5344425918,90.7168379889,90.2509006562,90.5510239915,26077,0.0,1.0
VOO,2010-11-03,54.83,54.83,54.16,54.71,63665,90.9158147858,90.9158147858,89.8048610031,90.7168379889,31832,0.0,1.0
VOO,2010-11-04,55.86,55.9,55.37,55.45,97934,92.6236989593,92.6900245582,91.8112103719,91.9438615698,48967,0.0,1.0
VOO,2010-11-05,56.08,56.15,55.84,55.95,96535,92.9884897536,93.1045595518,92.5905361598,92.7729315569,48267,0.0,1.0
VOO,2010-11-08,56.01,56.04,55.75,55.94,86798,92.8724199554,92.9221641546,92.4413035621,92.7563501572,43399,0.0,1.0
VOO,2010-11-09,55.57,56.15,55.398,56.09,71346,92.1428383668,93.1045595518,91.8576382912,93.0050711533,35673,0.0,1.0
VOO,2010-11-10,55.78,55.8,55.16,55.58,56352,92.4910477613,92.5242105608,91.4630009773,92.1594197665,28176,0.0,1.0
VOO,2010-11-11,55.6,55.64,55.2118,55.34,47947,92.192582566,92.2589081649,91.548892628,91.7614661727,23973,0.0,1.0
VOO,2010-11-12,54.9099,55.43,54.69,55.2,78896,91.0483001698,91.9106987704,90.6836751894,91.5293265763,39448,0.0,1.0
VOO,2010-11-15,54.86,55.2605,54.82,55.15,405455,90.9655589851,91.6296440447,90.8992333861,91.4464195776,202727,0.0,1.0
VOO,2010-11-16,53.98,54.51,53.7372,54.51,65610,89.5063958078,90.3852099941,89.103799422,90.3852099941,32805,0.0,1.0
VOO,2010-11-17,54.02,54.226,53.89,54.03,84806,89.5727214067,89.9142982414,89.3571632101,89.5893028065,42403,0.0,1.0
VOO,2010-11-18,54.82,54.96,54.5401,54.5401,52115,90.8992333861,91.1313729825,90.4351200073,90.4351200073,26057,0.0,1.0
VOO,2010-11-19,54.95,54.97,54.517,54.7501,40488,91.1147915827,91.1479543822,90.3968169739,90.7833294019,20244,0.0,1.0
VOO,2010-11-22,54.9,54.902,54.29,54.71,50661,91.031884584,91.035200864,90.0204191998,90.7168379889,25330,0.0,1.0
VOO,2010-11-23,54.13,54.32,53.962,54.28,284789,89.7551168039,90.070163399,89.4765492882,90.0038378,142394,0.0,1.0
VOO,2010-11-24,54.8295,54.8862,54.47,54.47,60143,90.9149857158,91.0090022524,90.3188843951,90.3188843951,30071,0.0,1.0
VOO,2010-11-26,54.52,54.7,54.41,54.48,65247,90.4017913938,90.7002565892,90.2193959967,90.3354657949,32623,0.0,1.0
VOO,2010-11-29,54.467,54.58,53.83,54.18,91905,90.3139099752,90.5012797923,89.2576748116,89.8380238026,45952,0.0,1.0
VOO,2010-11-30,54.09,54.43,53.91,53.98,183828,89.6887912049,90.2525587962,89.3903260096,89.5063958078,91914,0.0,1.0
VOO,2010-12-01,55.31,55.37,54.94,54.96,66612,91.7117219735,91.8112103719,91.098210183,91.1313729825,33306,0.0,1.0
VOO,2010-12-02,56.03,56.05,55.37,55.37,121207,92.9055827549,92.9387455544,91.8112103719,91.8112103719,60603,0.0,1.0
VOO,2010-12-03,56.17,56.23,55.82,55.83,368107,93.1377223513,93.2372107497,92.5573733603,92.57395476,184053,0.0,1.0
VOO,2010-12-06,56.1,56.21,56.0,56.08,128230,93.0216525531,93.2040479502,92.8558385557,92.9884897536,64115,0.0,1.0
VOO,2010-12-07,56.12,56.69,56.101,56.67,217937,93.0548153526,93.9999551379,93.0233106931,93.9667923384,108968,0.0,1.0
VOO,2010-12-08,56.35,56.37,55.9799,56.2,138044,93.4361875466,93.4693503461,92.8225099422,93.1874665505,69022,0.0,1.0
VOO,2010-12-09,56.56,56.67,56.3338,56.67,109621,93.7843969412,93.9667923384,93.4093256791,93.9667923384,54810,0.0,1.0
VOO,2010-12-10,56.9,56.94,56.61,56.74,147852,94.3481645324,94.4144901314,93.8673039399,94.0828621366,73926,0.0,1.0
VOO,2010-12-13,56.93,57.22,56.91,57.16,154047,94.3979087317,94.8787693242,94.3647459322,94.7792809257,77023,0.0,1.0
VOO,2010-12-14,56.96,57.18,56.83,57.06,119301,94.4476529309,94.8124437252,94.2320947343,94.6134669283,59650,0.0,1.0
VOO,2010-12-15,56.71,57.1,56.62,56.87,87192,94.0331179373,94.6797925273,93.8838853397,94.2984203332,43596,0.0,1.0
VOO,2010-12-16,57.04,57.08,56.56,56.78,121183,94.5803041288,94.6466297278,93.7843969412,94.1491877355,60591,0.0,1.0
VOO,2010-12-17,57.12,57.17,56.91,57.0,118274,94.7129553268,94.7958623255,94.3647459322,94.5139785299,59137,0.0,1.0
